Mode,focal_length,image_width,image_height,cx,cy,aspect_ratio,k1,k2,t1,t2,k3,End,,,,,,,,,,,
720p-60fps-wide (Fisheye),4,1280,720,1.038962477,0.011039938,-0.010160135,3.50E+02,6.55E+02,-5.96E+02,0,6.32E-04,-2.25E-07,-1.50E-12,3.14E+01,2.62E+02,9.38E+02,1.92E+03,2.57E+03,2.34E+03,1.94E+03,1.29E+03,,
1080p-30fps-wide (Fisheye),4,1920,1080,1.021048673,0.050700641,-0.050174135,5.05E+02,9.60E+02,-8.76E+02,0,4.38E-04,-1.16E-07,-5.00E-13,4.67E+01,4.37E+02,1.80E+03,4.28E+03,6.54E+03,6.84E+03,5.07E+03,3.38E+03,1.98E+03,
720p-120fps-narrow,1101,1280,720,639.5,359.5,1,-0.3587,0.279,0,0,-0.16,0,,,,,,,,,,,
2.7k-30fps (Fisheye),4,2704,1524,1.010103665,0.027626104,-0.02684238,7.15E+02,1.38E+03,-1.26E+03,0,3.14E-04,-7.85E-08,1.40E-11,1.82E+01,1.10E+02,3.79E+02,9.95E+02,1.68E+03,2.75E+03,2.49E+03,,,
2.7kcin-24fps (Fisheye),4.8,2704,1440,1.0101427,0.056189072,-0.05542836,6.72E+02,1.35E+03,-1.18E+03,0,3.53E-04,-1.34E-07,4.50E-11,-1.09E+01,-9.71E+01,-4.40E+02,-1.12E+03,-1.48E+03,-7.54E+02,1.35E+03,2.07E+03,,
4k-15fps (Fisheye),4,3840,2160,1.001151494,0.038094927,-0.037901447,1.00E+03,1.95E+03,-1.79E+03,0,2.02E-04,-1.64E-08,-3.00E-12,1.47E+02,1.37E+03,5.54E+03,1.29E+04,1.92E+04,1.92E+04,1.33E+04,7.83E+03,4.18E+03,
4kcin-12fps (Fisheye),4.5,4096,2160,1.000303084,0.053757474,-0.054021728,1.00E+03,2.04E+03,-1.79E+03,0,2.07E-04,-1.92E-08,-3.00E-12,3.84E+02,3.78E+03,1.65E+04,4.17E+04,6.83E+04,7.54E+04,5.74E+04,3.02E+04,1.24E+04,4.76E+03
1440p-48fps (Fisheye),4,1920,1440,1.000263728,0.036457567,-0.036141152,6.86E+02,9.58E+02,-8.57E+02,0,4.53E-04,-1.37E-07,1.42E-11,4.08E+01,3.68E+02,1.46E+03,3.38E+03,5.05E+03,5.27E+03,4.01E+03,2.94E+03,1.88E+03,
960p-48fps (Fisheye),4,1280,960,0.999984821,0.035932434,-0.0356314,4.58E+02,6.40E+02,-5.73E+02,0,7.12E-04,-4.47E-07,1.89E-10,-1.55E+01,-1.03E+02,-2.88E+02,-3.83E+02,-7.38E+01,4.95E+02,1.19E+03,1.14E+03,,
WVGA-120fps (Fisheye),4,848,480,1.009032072,0.040311274,-0.03939129,2.25E+02,4.26E+02,-3.89E+02,0,9.92E-04,-6.71E-07,2.22E-10,1.59E+01,1.09E+02,3.46E+02,6.79E+02,8.57E+02,1.01E+03,8.02E+02,,,
1080p-60fps-wide (Fisheye),5,1920,1080,1,0,0,540,960,-8.88E+02,0,4.18E-04,-9.63E-08,-4.21E-12,57.372402,474.612002,1683.703235,3413.07257,4464.508063,3941.069631,3083.283095,1969.185462,,
